UserName,Handle&Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
@tanzani9t,tanzani9t,2023-02-09,庶民が呟く,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy83MTExODM2MjEvRFNDMDA1MDFfYmlnZ2VyLmpwZw==,https://nitter.it/tanzani9t
@CxcTanzani,CXC Tanzania,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNjQ4OTUzNjU5NDc5MjYxMTg0L0VmTnhhZEFDX2JpZ2dlci5wbmc=,https://nitter.it/CxcTanzani
@AtTanzani,abulfidaa at-tanzani,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy85MDg3NjAzOTEzMzcwMjE0NDEvdUdjeDQ2SXVfYmlnZ2VyLmpwZw==,https://nitter.it/AtTanzani
@Tanzani17436757,Tanzania,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMjY3OTA1ODU0NDk1NDk0MTUwL0d3TkxRTnhqX2JpZ2dlci5qcGc=,https://nitter.it/Tanzani17436757
@Tanzani03007855,Tanzania,2023-02-09,Married happy enjoy life,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNDI5MTc0ODQwMTg4MDk2NTMwL18tenRORS00X2JpZ2dlci5qcGc=,https://nitter.it/Tanzani03007855
@NTanzani,Nadal tanzani,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy82NzcwMzY2MjczOTk1NDA3Mzcvd3ZxT1psbEtfYmlnZ2VyLmpwZw==,https://nitter.it/NTanzani
@Tanzani47218194,Tanzania,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMjgwOTM2OTY5MzI1ODM4MzM2L2ZyU3pLUG82X2JpZ2dlci5qcGc=,https://nitter.it/Tanzani47218194
@Tanzani13,Tanzani,2023-02-09,SMPL...,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMTkxMjY1NTA3NzQ1MjU1NDI0L2xPdFZackY1X2JpZ2dlci5qcGc=,https://nitter.it/Tanzani13
@Tanzani63745171,Tanzania,2023-02-09,"Transcribing messages back to the hood since ""2019""",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMDkwOTY1OTI4NjU1ODg0MjkxL2VMdGhWYWZBX2JpZ2dlci5qcGc=,https://nitter.it/Tanzani63745171
@Tanzani28766923,Tanzanite,2023-02-09,,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMzc0NzE5OTUxNTgwMzcyOTk1L0JOdDJCMkNwX2JpZ2dlci5qcGc=,https://nitter.it/Tanzani28766923
